name, result, bool var, arith var, conflict, decision, stage, learned added
IsoRightTriangle-Bottema1_7b, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_8a, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_8b, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_9a, sat, , , , 1, 5, 
IsoRightTriangle-Bottema1_9b, sat, , , , 1, 5, 
IsoRightTriangle-Bottema4_2b, sat, , , , 1, 5, 
IsoRightTriangle-Bottema5_3b, sat, , , , 1, 4, 
IsoRightTriangle-Bottema6_1b, sat, , , , 1, 5, 
IsoRightTriangle-Bottema8_1b, sat, , , , 1, 6, 
IsoTriangle-Area_Perimeter_a, sat, , , , , 5, 
IsoTriangle-Bottema11_20a, sat, , , 7, 2, 10, 
IsoTriangle-Bottema11_20b, sat, , , , , 3, 
IsoTriangle-Bottema1_19a, sat, , , 7, 2, 10, 
IsoTriangle-Bottema1_19b, sat, , , , , 4, 
IsoTriangle-Bottema1_1a, sat, , , 7, 2, 10, 
IsoTriangle-Bottema1_1b, sat, , , , , 4, 
IsoTriangle-Bottema4_2a, sat, , , 4, , 13, 
IsoTriangle-Bottema4_2b, sat, , , , , 5, 
IsoTriangle-Bottema5_3a, sat, , , 15, 2, 19, 
IsoTriangle-Bottema5_3b, sat, , , 6, 1, 11, 
IsoTriangle-Bottema6_1a, sat, , , 8, , 23, 
IsoTriangle-Bottema6_1b, sat, , , 7, 2, 12, 
IsoTriangle-Bottema8_1a, sat, , , 24, 12, 19, 
IsoTriangle-Bottema8_1b, sat, , , 4, 1, 8, 
IsoTriangle-Median_Perimeter_a1, sat, , , 2, 2, 6, 
IsoTriangle-Median_Perimeter_a2, sat, , , 2, 2, 6, 
IsoTriangle-Perimeter_CircumRadius_a, sat, , , 6, 1, 13, 
IsoTriangle-Perimeter_CircumRadius_b, sat, , , 13, 2, 36, 
IsoTriangle-Perimeter_CircumRadius_c, sat, , , 55, 28, 61, 
IsoTriangle-Perimeter_InRadius, sat, , , 5, 4, 12, 
KochanskiPiApproximation-RegDodecagon, sat, , , 4, , 11, 
KochanskiPiApproximation, sat, , , 11, 5, 12, 
Odom-GoldenRatio-RegTriangle, sat, , , , , 6, 
OposicionsSecundariaCatalunya2018-2_4a, sat, , , 3, , 10, 
OposicionsSecundariaCatalunya2018-2_4b, sat, , , 20, 11, 24, 
PythagoreanGeneralization_Triangle-aa+bb_cc, sat, , , 1, , 7, 
RegDecagon-Diagonal_Side, sat, , , , , 4, 
RegHendecagon-Diagonal_Side, timeout, , , , , , 
RegHeptagon-Diagonal_Side, sat, , , , , 4, 
RegHexagon-Diagonal_Side, sat, , , , , 4, 
RegHexagon-ProductDiagonals_CircumRadius, sat, , , , , 8, 
RegNonagon-Diagonal_Side, sat, , , , , 4, 
RegOctagon-Diagonal_Side, sat, , , , , 4, 
RegOctagon-ProductDiagonals_CircumRadius, timeout, , , , , , 
RegPentagon-Diagonal_Side, sat, , , , , 4, 
RightTriangle-Bottema11_20, sat, , , 3, 1, 7, 
RightTriangle-Bottema11_20a, sat, , , 14, 5, 14, 
RightTriangle-Bottema11_20b, sat, , , 3, 1, 7, 
RightTriangle-Bottema1_19a, sat, , , 14, 5, 15, 
RightTriangle-Bottema1_19b, sat, , , 2, 2, 6, 
RightTriangle-Bottema1_1a, sat, , , 14, 5, 15, 
RightTriangle-Bottema1_1b, sat, , , 2, 2, 6, 
RightTriangle-Bottema4_2a, sat, , , 14, 5, 15, 
RightTriangle-Bottema4_2b, sat, , , 2, 2, 6, 
RightTriangle-Bottema5_3a, sat, , , 16, 5, 18, 
RightTriangle-Bottema5_3b, sat, , , 2, 1, 7, 
RightTriangle-Bottema6_1a, sat, , , 11, 3, 15, 
RightTriangle-Bottema6_1b, sat, , , 1, 1, 7, 
RightTriangle-Bottema8_1a, sat, , , 2, , 10, 
RightTriangle-Bottema8_1b, sat, , , , , 7, 
Square-Diagonal_Side, sat, , , , , 3, 
Triangle-2Sides_Medians_a, sat, , , 4, , 20, 
Triangle-Area_Perimeter_a, sat, , , 1, , 9, 
Triangle-Bottema1_1, sat, , , 1, , 8, 
Triangle-Bottema1_12, sat, , , 1, , 8, 
Triangle-Bottema1_14, sat, , , 1, , 8, 
Triangle-Bottema1_15, sat, , , 1, , 8, 
Triangle-Bottema1_17, sat, , , 1, , 8, 
Triangle-Bottema1_19, sat, , , 1, , 8, 
Triangle-Bottema1_2, sat, , , 1, , 8, 
Triangle-Bottema1_23, sat, , , 1, , 8, 
Triangle-Bottema1_3, sat, , , 1, , 8, 
Triangle-Bottema1_4, sat, , , 1, , 8, 
Triangle-Bottema1_5, sat, , , 1, , 8, 
Triangle-Bottema1_6, sat, , , 1, , 8, 
Triangle-Bottema1_7, sat, , , 1, , 8, 
Triangle-Bottema1_8, sat, , , 1, , 8, 
Triangle-Bottema1_9, sat, , , 1, , 8, 
Triangle-Bottema5_3, sat, , , 11, 2, 19, 
Triangle-Perimeter_2Medians_a, sat, , , 2, , 11, 
Triangle-SymmHomPoly_3-2-1, sat, , , 1, , 8, 
Triangle-SymmHomPoly_3-2-2, sat, , , 1, , 8, 
Triangle-SymmHomPoly_3-2-3, sat, , , 1, , 8, 
Triangle-SymmHomPoly_3-3-1, sat, , , 1, , 8, 
TriangleInequality_Triangle-a+b_c, sat, , , 1, , 7, 
DDC_ProveIneq_ISSAC05_AmerMathMonthly10347LHSa, sat, , , , , 3, 
DDC_ProveIneq_ISSAC05_AmerMathMonthly10347LHSb, unsat, , , 4, , 4, 
DDC_ProveIneq_ISSAC05_Bessack_2_m1, unsat, , , 3, , 3, 
DDC_ProveIneq_ISSAC05_Bessack_3_m1, unsat, , , 3, , 3, 
DDC_ProveIneq_ISSAC05_Bessack_3_m2, unsat, , , 3, , 3, 
DDC_ProveIneq_ISSAC05_Bessack_4_m2, unsat, , , 3, , 3, 
DDC_ProveIneq_ISSAC05_Bessack_4_m3, unsat, , , 3, , 3, 
DDC_ProveIneq_ISSAC05_Bessack_5_m1, unsat, , , 3, , 3, 
DDC_ProveIneq_ISSAC05_Bessack_5_m2, unsat, , , 3, , 3, 
DDC_ProveIneq_ISSAC05_Bessack_5_m3, unsat, , , 3, , 3, 
DDC_ProveIneq_ISSAC05_FibonacciPoly_a, sat, , , 2, 3, 6, 
DDC_ProveIneq_ISSAC05_FibonacciPoly_b, unsat, , , 48, 39, 26, 
DDC_ProveIneq_ISSAC05_KnoppSchur_a, sat, , , 1, 1, 7, 
DDC_ProveIneq_ISSAC05_KnoppSchur_b, unsat, , , 4, 1, 5, 
DDC_ProveIneq_ISSAC05_LevinLHS, unsat, , , 9, 4, 5, 
DDC_ProveIneq_ISSAC05_LevinRHSa, sat, , , 2, 5, 5, 
DDC_ProveIneq_ISSAC05_LevinRHSb, sat, , , 1, 4, 4, 
DDC_ProveIneq_ISSAC05_LevinRHSc, sat, , , 1, 6, 4, 
DDC_ProveIneq_ISSAC05_LevinRHSm, unsat, , , 11, 1, 10, 
DDC_ProveIneq_ISSAC05_Mitrinovic_7_31, unsat, , , 4, , 4, 
DDC_ProveIneq_ISSAC05_Mitrinovic_7_32, unsat, , , 4, , 4, 
DDC_ProveIneq_ISSAC05_Weierstrass_1_LHS, unsat, , , 3, , 3, 
DDC_ProveIneq_ISSAC05_Weierstrass_2_LHS, unsat, , , 3, , 3, 
DDC_ProveIneq_ISSAC10_ex1c, sat, , , , , 5, 
DDC_ProveIneq_ISSAC10_ex1d, sat, , , , , 5, 
DDC_ProveIneq_ISSAC10_ex1f, unsat, , , 9, 1, 9, 
DDC_ProveIneq_ISSAC10_ex3a, sat, , , 3, 1, 5, 
DDC_ProveIneq_ISSAC10_ex3d, sat, , , 7, 5, 8, 
DDC_ProveIneq_ISSAC10_ex4b, sat, , , , , 4, 
DDC_ProveIneq_ISSAC10_ex4c, sat, , , , , 4, 
DDC_ProveIneq_ISSAC10_ex4d, sat, , , , , 4, 
DDC_ProveIneq_ISSAC10_ex4e, sat, , , 1, 2, 4, 
DDC_ProveIneq_ISSAC10_ex4f, sat, , , 1, 3, 4, 
DDC_ProveIneq_ISSAC10_ex4g, sat, , , 1, 3, 4, 
DDC_ProveIneq_ISSAC10_ex4h, sat, , , 1, 3, 4, 
DDC_ProveIneq_ISSAC10_ex4i, sat, , , 1, 3, 4, 
DDC_ProveIneq_ISSAC10_ex4j, sat, , , 2, 3, 4, 
DDC_ProveIneq_JSC_SUMCracker_14a, sat, , , 2, 3, 7, 
DDC_ProveIneq_JSC_SUMCracker_14c, sat, , , 80, 16, 96, 
DDC_ProveIneq_JSC_SUMCracker_15, unsat, , , 47, 7, 41, 
DDC_ProveIneq_JSC_SUMCracker_20, unsat, , , 39, 8, 33, 
DDC_ProveIneq_Mitrinovic_3_27, unsat, , , 28, 10, 32, 
DDC_ProveIneq_Mitrinovic_3_29, unsat, , , 7, 1, 5, 
DDC_ProveIneq_Mitrinovic_3_31, unsat, , , 7, 4, 4, 
DDC_ProveIneq_Mitrinovic_4_1, unsat, , , 7, 1, 7, 
DDC_ProveIneq_Mitrinovic_4_14, unsat, , , 6, 1, 5, 
DDC_ProveIneq_Mitrinovic_4_19, unsat, , , 3, , 3, 
DDC_ProveIneq_Mitrinovic_4_22a, sat, , , , , 5, 
DDC_ProveIneq_Mitrinovic_4_29_2, unsat, , , 2, , 2, 
DDC_ProveIneq_Mitrinovic_4_3, unsat, , , 5, 2, 4, 
DDC_ProveIneq_Mitrinovic_4_30_2, unsat, , , 4, 1, 3, 
DDC_ProveIneq_Mitrinovic_4_4, unsat, , , 5, 2, 4, 
DDC_ProveIneq_Mitrinovic_8_4, unsat, , , 102, 23, 81, 
DDC_ProveIneq_Mitrinovic_8_8, unsat, , , 46, 12, 35, 
a.10.c.t2.c_Iteration2_Loop_4-pieceTemplate, timeout, , , , , , 
a.10.c.t2.c_Iteration5_Loop_4-pieceTemplate, sat, , , 8247, 6845, 10511, 
a.10.c.t2.c_Iteration6_Loop_4-pieceTemplate, sat, , , 6606, 4353, 13236, 
a.10.c.t2.c_Iteration9_Loop_4-pieceTemplate, sat, , , 5460, 4917, 15155, 
afagp-fail.t2.c_Iteration1_Lasso_3-pieceTemplate, timeout, , , , , , 
afagp-fail.t2.c_Iteration1_Lasso_4-pieceTemplate, timeout, , , , , , 
afagp-fail.t2.c_Iteration1_Lasso_5-phaseTemplate, timeout, , , , , , 
afagp-fail.t2.c_Iteration1_Lasso_6-phaseTemplate, timeout, , , , , , 
afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate, timeout, , , , , , 
agafp.t2.c_Iteration1_Lasso_3-pieceTemplate, timeout, , , , , , 
agafp.t2.c_Iteration1_Lasso_4-pieceTemplate, timeout, , , , , , 
agafp.t2.c_Iteration1_Lasso_5-phaseTemplate, unsat, , , 44793, 25383, 30061, 
agafp.t2.c_Iteration1_Lasso_6-phaseTemplate, timeout, , , , , , 
agafp.t2.c_Iteration1_Lasso_7-phaseTemplate, timeout, , , , , , 
bf10.t2.c_Iteration1_Loop_4-pieceTemplate, timeout, , , , , , 
bf12.t2.c_Iteration1_Loop_4-pieceTemplate, sat, , , 19315, 55066, 119405, 
bf13.t2.c_Iteration1_Loop_4-pieceTemplate, sat, , , 19334, 55084, 119409, 
bf20.t2.c_Iteration1_Loop_4-pieceTemplate, timeout, , , , , , 
bf5.t2.c_Iteration1_Loop_4-pieceTemplate, sat, , , 19381, 55145, 119442, 
bf6.t2.c_Iteration1_Loop_4-pieceTemplate, sat, , , 19298, 55050, 119401, 
bitcount16.t2.c_Iteration1_Loop_4-pieceTemplate, timeout, , , , , , 
broydn.c.i.broydn.pl.t2.fixed.t2.c_Iteration1_Loop_4-pieceTemplate, timeout, , , , , , 
broydn.t2.c_Iteration1_Loop_4-pieceTemplate, timeout, , , , , , 
brp_withassume.t2.c_Iteration1_Loop_3-pieceTemplate, timeout, , , , , , 
brp_withassume.t2.c_Iteration1_Loop_4-pieceTemplate, timeout, , , , , , 
brp_withassume.t2.c_Iteration8_Loop_2-pieceTemplate, timeout, , , , , , 
brp_withassume.t2.c_Iteration8_Loop_3-pieceTemplate, timeout, , , , , , 
brp_withassume.t2.c_Iteration8_Loop_4-pieceTemplate, timeout, , , , , , 
bsort100.t2.c_Iteration12_Loop_4-pieceTemplate, timeout, , , , , , 
bsort100.t2.c_Iteration13_Loop_4-pieceTemplate, timeout, , , , , , 
bubbleSort.t2.c_Iteration5_Loop_4-pieceTemplate, sat, , , 17566, 48514, 167057, 
bubbleSort.t2.c_Iteration6_Loop_4-pieceTemplate, sat, , , 7585, 21219, 57453, 
bubblesort_inner_loop.t2.c_Iteration1_Loop_3-pieceTemplate, sat, , , 1887, 4392, 10958, 
bubblesort_inner_loop.t2.c_Iteration1_Loop_4-pieceTemplate, sat, , , 8540, 25535, 61952, 
byron-1.t2.c_Iteration1_Loop_3-pieceTemplate, unsat, , , 12259, 13577, 15882, 
byron-1.t2.c_Iteration1_Loop_4-pieceTemplate, timeout, , , , , , 
byron-2.t2.c_Iteration2_Loop_3-pieceTemplate, timeout, , , , , , 
byron-2.t2.c_Iteration2_Loop_4-pieceTemplate, timeout, , , , , , 
byron-2.t2.c_Iteration3_Loop_4-pieceTemplate, sat, , , 8834, 39233, 116260, 
byron-3.t2.c_Iteration1_Loop_4-pieceTemplate, timeout, , , , , , 
collatz.t2.c_Iteration1_Loop_3-pieceTemplate, timeout, , , , , , 
collatz.t2.c_Iteration1_Loop_4-pieceTemplate, timeout, , , , , , 
collatz.t2.c_Iteration3_Lasso_3-pieceTemplate, timeout, , , , , , 
collatz.t2.c_Iteration3_Lasso_4-pieceTemplate, timeout, , , , , , 
collatz.t2.c_Iteration3_Lasso_6-phaseTemplate, timeout, , , , , , 
collatz.t2.c_Iteration3_Lasso_7-phaseTemplate, timeout, , , , , , 
collatz.t2.c_Iteration3_Loop_3-pieceTemplate, timeout, , , , , , 
collatz.t2.c_Iteration3_Loop_4-pieceTemplate, timeout, , , , , , 
collatz.t2.c_Iteration3_Loop_6-phaseTemplate, timeout, , , , , , 
collatz.t2.c_Iteration3_Loop_7-phaseTemplate, timeout, , , , , , 
consts1.t2.c_Iteration1_Lasso_4-pieceTemplate, timeout, , , , , , 
curious4.t2.c_Iteration1_Lasso_3-pieceTemplate, timeout, , , , , , 
curious4.t2.c_Iteration1_Lasso_4-pieceTemplate, timeout, , , , , , 
db2.t2.c_Iteration3_Loop_4-pieceTemplate, timeout, , , , , , 
db3.t2.c_Iteration2_Loop_4-pieceTemplate, timeout, , , , , , 
disj_nightmare.t2.c_Iteration1_Lasso_2-pieceTemplate, timeout, , , , , , 
disj_nightmare.t2.c_Iteration1_Lasso_3-pieceTemplate, timeout, , , , , , 
disj_nightmare.t2.c_Iteration1_Lasso_4-pieceTemplate, timeout, , , , , , 
disj_nightmare.t2.c_Iteration1_Loop_2-pieceTemplate, timeout, , , , , , 
disj_nightmare.t2.c_Iteration1_Loop_3-pieceTemplate, timeout, , , , , , 
disj_nightmare.t2.c_Iteration1_Loop_4-pieceTemplate, timeout, , , , , , 
dropbuf.t2.c_Iteration2_Loop_3-pieceTemplate, sat, , , 1322, 2413, 9332, 
dropbuf.t2.c_Iteration2_Loop_4-pieceTemplate, sat, , , 35649, 90172, 171148, 
dropbuf.t2.c_Iteration3_Loop_4-pieceTemplate, timeout, , , , , , 
efegp.t2.c_Iteration1_Lasso_3-pieceTemplate, timeout, , , , , , 
efegp.t2.c_Iteration1_Lasso_4-lexTemplate, timeout, , , , , , 
efegp.t2.c_Iteration1_Lasso_4-pieceTemplate, timeout, , , , , , 
elmhes.c.i.elmhes.pl.t2.fixed.t2.c_Iteration2_Loop_4-pieceTemplate, sat, , , 6599, 12135, 34189, 
elmhes.c.i.elmhes.pl.t2.fixed.t2.c_Iteration6_Loop_4-pieceTemplate, sat, , , 28828, 125876, 213097, 
elmhes.t2.c_Iteration2_Loop_4-pieceTemplate, sat, , , 13668, 22899, 51828, 
elmhes.t2.c_Iteration6_Loop_4-pieceTemplate, sat, , , 29121, 126427, 214488, 
eric.t2.c_Iteration1_Lasso_2-pieceTemplate, timeout, , , , , , 
eric.t2.c_Iteration1_Lasso_3-pieceTemplate, timeout, , , , , , 
eric.t2.c_Iteration1_Lasso_4-pieceTemplate, timeout, , , , , , 
eric.t2.c_Iteration1_Lasso_5-phaseTemplate, timeout, , , , , , 
eric.t2.c_Iteration1_Lasso_6-phaseTemplate, timeout, , , , , , 
eric.t2.c_Iteration1_Lasso_7-phaseTemplate, unsat, , , 8006, 39955, 62878, 
eric.t2.c_Iteration1_Loop_2-pieceTemplate, timeout, , , , , , 
eric.t2.c_Iteration1_Loop_3-pieceTemplate, timeout, , , , , , 
eric.t2.c_Iteration1_Loop_4-pieceTemplate, timeout, , , , , , 
eric.t2.c_Iteration1_Loop_5-phaseTemplate, unsat, , , 17158, 34831, 44687, 
eric.t2.c_Iteration1_Loop_6-phaseTemplate, unsat, , , 12129, 24167, 39721, 
eric.t2.c_Iteration1_Loop_7-phaseTemplate, unsat, , , 12154, 25753, 41131, 
eric2.t2.c_Iteration11_Loop_4-pieceTemplate, sat, , , 1968, 3538, 9606, 
eric2.t2.c_Iteration1_Loop_4-pieceTemplate, timeout, , , , , , 
eric2.t2.c_Iteration2_Loop_3-pieceTemplate, timeout, , , , , , 
eric2.t2.c_Iteration2_Loop_4-pieceTemplate, timeout, , , , , , 
eric2.t2.c_Iteration3_Loop_4-pieceTemplate, timeout, , , , , , 
eric2.t2.c_Iteration3_Loop_7-phaseTemplate, sat, , , 2267, 2156, 4393, 
eric2.t2.c_Iteration4_Loop_3-pieceTemplate, timeout, , , , , , 
